Crew ID,Base,Count of Non-Base Layover,Count of Invalid Layover
Crew_10467,UQLN,0,0
Crew_10793,XGOB,1,0
Crew_10829,UQLN,0,0
Crew_10073,VBKF,0,0
Crew_10389,UQLN,1,0
Crew_10647,UQLN,4,0
Crew_10817,XGOB,0,0
Crew_10577,UQLN,1,0
Crew_10861,VBKF,1,0
Crew_10591,XGOB,2,0
Crew_10503,GRIG,2,0
Crew_10555,XGOB,2,0
Crew_10785,XGOB,2,0
Crew_10301,XGOB,1,0
Crew_10203,UQLN,1,0
Crew_10494,XGOB,2,0
Crew_10431,XGOB,0,0
Crew_10185,VBKF,1,0
Crew_10637,XGOB,1,0
Crew_10111,XGOB,2,0
Crew_10103,XGOB,2,0
Crew_10022,XGOB,3,0
Crew_10220,XGOB,0,0
Crew_10084,XGOB,0,0
Crew_10326,WZBQ,3,0
Crew_10451,XGOB,0,0
Crew_10244,XGOB,0,0
Crew_10523,WZBQ,2,0
Crew_10069,GRIG,2,0
Crew_10743,GRIG,4,0
Crew_10603,GRIG,2,0
Crew_10404,SNFR,0,0
Crew_10423,XGOB,0,0
Crew_10667,VBKF,0,0
Crew_10615,SNFR,1,0
Crew_10057,UQLN,1,1
Crew_10125,XGOB,0,0
Crew_10112,GRIG,1,1
Crew_10725,GRIG,1,0
Crew_10731,SNFR,1,0
Crew_10392,XGOB,0,0
Crew_10594,GRIG,4,0
Crew_10255,GRIG,3,0
Crew_10740,GRIG,4,0
Crew_10580,GRIG,4,0
Crew_10102,UQLN,1,0
Crew_10201,XGOB,0,0
Crew_10774,XGOB,0,0
Crew_10302,XGOB,0,0
Crew_10080,UQLN,1,0
Crew_10334,XGOB,0,0
Crew_10104,UQLN,1,0
Crew_10779,XGOB,1,0
Crew_10823,XGOB,0,0
Crew_10050,XGOB,0,0
Crew_10143,XGOB,0,0
Crew_10029,XGOB,0,0
Crew_10452,XGOB,0,0
Crew_10432,GRIG,4,0
Crew_10442,GRIG,2,0
Crew_10534,UQLN,0,0
Crew_10583,GRIG,3,0
Crew_10767,GRIG,3,0
Crew_10851,UQLN,0,0
Crew_10672,XGOB,0,0
Crew_10370,UQLN,0,0
Crew_10751,UQLN,0,0
Crew_10456,UQLN,0,0
Crew_10035,UQLN,1,0
Crew_10460,XGOB,0,0
Crew_10832,XGOB,0,0
Crew_10593,UQLN,0,0
Crew_10567,XGOB,0,0
Crew_10276,UQLN,2,0
Crew_10563,UQLN,4,0
Crew_10474,XGOB,1,0
Crew_10196,XGOB,1,0
Crew_10371,XGOB,2,1
Crew_10544,XGOB,1,0
Crew_10858,XGOB,1,0
Crew_10043,UQLN,3,2
Crew_10157,SNFR,1,1
Crew_10614,UQLN,1,0
Crew_10363,VBKF,0,0
Crew_10504,XGOB,1,0
Crew_10644,UQLN,1,0
Crew_10054,XGOB,0,0
Crew_10680,UQLN,2,1
Crew_10477,UQLN,2,0
Crew_10027,XGOB,0,0
Crew_10055,UQLN,3,0
Crew_10038,UQLN,1,0
Crew_10792,MBMY,1,0
Crew_10566,XGOB,1,0
Crew_10610,VBKF,0,0
Crew_10399,XGOB,3,0
Crew_10827,XGOB,0,0
Crew_10677,XGOB,0,0
Crew_10164,XGOB,1,0
Crew_10693,XGOB,2,0
Crew_10267,XGOB,0,0
Crew_10674,XGOB,1,1
Crew_10826,XGOB,0,0
Crew_10860,XGOB,2,0
Crew_10786,XGOB,0,0
Crew_10816,XGOB,3,0
Crew_10662,WZBQ,2,0
