Crew ID,Base,Count of Non-Base Layover,Count of Invalid Layover
Crew_10841,RRES,3,0
Crew_10173,RRES,3,1
Crew_10333,VIOC,1,0
Crew_10033,RRES,5,1
Crew_10249,RRES,4,0
Crew_10602,RRES,1,0
Crew_10824,RRES,6,0
Crew_10497,RRES,4,0
Crew_10517,RRES,1,1
Crew_10447,RRES,1,1
Crew_10110,RRES,3,0
Crew_10075,RRES,4,0
Crew_10857,RRES,4,0
Crew_10167,RRES,5,1
Crew_10020,RRES,4,2
Crew_10010,RRES,5,1
Crew_10500,VIOC,2,1
Crew_10116,VIOC,4,1
Crew_10718,VIOC,5,1
Crew_10480,VIOC,4,1
Crew_10451,VIOC,3,2
Crew_10649,RTHW,4,1
Crew_10472,VIOC,4,0
Crew_10123,RRES,5,2
Crew_10109,RRES,1,1
Crew_10152,RRES,4,2
Crew_10292,VIOC,5,0
Crew_10744,VIOC,2,2
Crew_10759,VIOC,4,0
Crew_10770,VIOC,2,0
Crew_10708,VIOC,3,1
Crew_10842,RRES,5,1
Crew_10519,VIOC,3,1
Crew_10849,VIOC,5,0
Crew_10393,VIOC,4,1
Crew_10018,VIOC,3,1
Crew_10211,VIOC,2,1
Crew_10674,RRES,3,1
Crew_10080,RTHW,4,0
Crew_10179,RTHW,6,1
Crew_10498,RTHW,4,1
Crew_10867,RTHW,3,1
Crew_10362,RTHW,3,0
Crew_10736,RTHW,5,1
Crew_10398,RTHW,5,2
Crew_10037,VWSF,4,1
Crew_10125,RTHW,4,1
Crew_10272,RTHW,4,0
Crew_10789,RTHW,4,2
Crew_10652,RTHW,3,3
Crew_10604,RTHW,5,2
Crew_10684,RTHW,2,0
Crew_10117,TATC,5,1
Crew_10639,RRES,2,2
Crew_10218,VIOC,2,1
Crew_10413,ENDP,4,3
Crew_10750,VIOC,3,1
Crew_10541,RTHW,4,4
Crew_10855,RTHW,4,1
Crew_10192,RTHW,4,1
Crew_10150,RTHW,4,1
Crew_10252,ENDP,1,0
Crew_10325,RTHW,3,0
Crew_10872,ENDP,2,1
Crew_10793,VIOC,5,2
Crew_10127,ENDP,5,2
Crew_10327,ENDP,3,1
Crew_10017,VIOC,3,1
Crew_10403,ENDP,3,0
Crew_10567,RTHW,6,1
Crew_10645,RRES,5,1
Crew_10263,VIOC,2,1
Crew_10706,VIOC,3,2
Crew_10401,VIOC,3,2
Crew_10524,VIOC,4,1
Crew_10314,VIOC,2,2
Crew_10131,VIOC,2,2
Crew_10651,VIOC,0,0
Crew_10503,VIOC,1,1
Crew_10699,VIOC,3,3
Crew_10827,VIOC,2,0
Crew_10365,VIOC,3,2
Crew_10769,VIOC,3,1
Crew_10526,VIOC,4,2
Crew_10317,VIOC,4,1
Crew_10443,RTHW,2,1
Crew_10618,VIOC,4,2
Crew_10227,RTHW,3,0
Crew_10195,RRES,5,3
Crew_10584,RTHW,5,0
Crew_10176,RRES,4,0
Crew_10388,VIOC,1,1
Crew_10163,TATC,4,0
Crew_10386,RTHW,1,1
Crew_10887,RTHW,2,1
Crew_10741,RTHW,4,1
Crew_10637,ENDP,4,1
Crew_10124,RTHW,4,1
Crew_10031,VIOC,1,0
Crew_10045,RTHW,3,0
Crew_10836,TPWY,4,2
Crew_10626,VIOC,2,0
Crew_10757,RTHW,1,0
Crew_10845,VIOC,3,3
Crew_10743,VIOC,3,2
Crew_10638,RTHW,4,3
Crew_10071,RRES,3,1
Crew_10059,RRES,5,1
Crew_10682,VIOC,1,0
Crew_10338,VIOC,2,1
Crew_10416,RRES,3,1
Crew_10724,TATC,6,1
Crew_10509,RRES,4,1
Crew_10782,VIOC,4,2
Crew_10772,VIOC,2,1
Crew_10531,VIOC,3,2
Crew_10681,VIOC,4,2
Crew_10305,VIOC,2,2
Crew_10646,VIOC,3,0
Crew_10220,VIOC,2,2
Crew_10580,VIOC,1,0
Crew_10205,VIOC,1,0
Crew_10731,VIOC,3,0
Crew_10184,VIOC,3,1
Crew_10504,VWSF,4,1
Crew_10191,VIOC,2,1
Crew_10197,RRES,4,2
Crew_10181,RTHW,3,1
Crew_10532,VIOC,2,1
Crew_10868,ENDP,3,1
Crew_10177,VIOC,1,1
Crew_10053,RTHW,4,0
Crew_10773,VIOC,4,0
Crew_10454,RTHW,5,2
Crew_10186,VIOC,4,2
Crew_10873,RTHW,1,1
Crew_10228,VIOC,1,0
Crew_10306,VIOC,4,1
Crew_10860,VIOC,4,1
Crew_10469,VIOC,3,0
Crew_10553,VIOC,2,0
Crew_10852,RTHW,5,0
Crew_10791,RRES,3,2
Crew_10520,RTHW,3,1
Crew_10079,RTHW,2,1
Crew_10435,ENDP,3,0
Crew_10356,VIOC,4,1
Crew_10676,VIOC,5,1
Crew_10542,RTWL,4,0
Crew_10171,VIOC,4,1
Crew_10851,VIOC,4,0
Crew_10866,VIOC,3,1
Crew_10061,RTHW,3,2
Crew_10642,RTHW,0,0
Crew_10345,VIOC,4,2
Crew_10491,RTHW,4,1
Crew_10614,RRES,3,3
Crew_10477,RTHW,3,2
Crew_10103,RRES,6,4
Crew_10627,RRES,4,0
Crew_10740,VIOC,3,2
Crew_10599,TPWY,4,1
Crew_10082,RRES,5,2
Crew_10196,VWSF,4,0
Crew_10073,VIOC,3,2
Crew_10492,RRES,4,1
Crew_10414,VIOC,1,1
Crew_10095,VIOC,3,2
Crew_10685,RRES,4,3
Crew_10660,RRES,4,1
Crew_10729,RRES,4,2
Crew_10788,RRES,4,1
Crew_10390,RRES,4,2
Crew_10300,VIOC,1,0
Crew_10661,VIOC,3,2
Crew_10056,VIOC,3,0
Crew_10304,VIOC,1,0
Crew_10293,VIOC,4,2
Crew_10310,RRES,3,1
Crew_10449,VIOC,2,1
Crew_10007,RRES,3,1
Crew_10143,VIOC,2,2
Crew_10672,VIOC,1,1
Crew_10805,VIOC,3,1
Crew_10576,RRES,1,1
Crew_10545,VIOC,5,1
Crew_10070,RTHW,2,1
Crew_10030,VIOC,3,2
Crew_10544,VIOC,4,1
Crew_10508,VIOC,1,0
Crew_10115,RTHW,5,0
Crew_10734,ENDP,4,0
Crew_10411,ENDP,4,2
Crew_10748,TPWY,5,3
Crew_10400,VIOC,1,0
Crew_10423,VIOC,3,1
Crew_10806,VIOC,2,1
Crew_10807,VIOC,4,3
Crew_10142,RRES,3,2
Crew_10096,RRES,2,0
Crew_10496,VIOC,4,1
Crew_10241,RRES,2,2
Crew_10578,RRES,3,0
Crew_10025,VIOC,4,1
Crew_10207,VIOC,1,0
Crew_10521,VIOC,0,0
Crew_10404,VIOC,5,1
Crew_10266,VIOC,0,0
Crew_10003,RRES,3,2
Crew_10795,VIOC,4,2
Crew_10475,RRES,3,1
Crew_10397,RRES,1,0
Crew_10650,RRES,2,0
Crew_10391,VIOC,3,2
Crew_10389,RRES,1,1
Crew_10583,RRES,3,1
Crew_10367,RRES,2,1
Crew_10831,RRES,2,2
Crew_10702,RTHW,4,2
Crew_10128,VIOC,1,0
Crew_10703,RTHW,3,2
Crew_10754,RTHW,3,2
Crew_10023,RTHW,3,1
Crew_10742,RTHW,3,2
Crew_10598,VIOC,1,0
Crew_10560,VIOC,3,0
Crew_10819,VIOC,3,0
Crew_10156,ENDP,2,1
Crew_10209,RRES,3,3
Crew_10101,VIOC,2,2
Crew_10440,VIOC,4,0
Crew_10640,VIOC,2,0
Crew_10107,VIOC,3,1
Crew_10471,VIOC,2,1
Crew_10437,VIOC,4,2
Crew_10848,VIOC,2,0
Crew_10106,RRES,2,0
Crew_10501,VIOC,3,0
Crew_10335,VIOC,2,1
Crew_10114,VIOC,1,1
Crew_10775,VIOC,2,0
Crew_10190,TATC,5,0
Crew_10715,VIOC,0,0
Crew_10537,VIOC,2,1
Crew_10780,VIOC,3,1
Crew_10297,VIOC,4,2
Crew_10659,RTHW,2,2
Crew_10825,VIOC,3,0
Crew_10448,RTHW,5,0
Crew_10078,VIOC,1,1
Crew_10810,VIOC,1,1
Crew_10233,VIOC,1,1
Crew_10850,VIOC,3,2
Crew_10796,VIOC,1,1
Crew_10853,RRES,4,1
Crew_10818,VIOC,1,0
Crew_10455,RRES,2,1
Crew_10846,RRES,2,1
Crew_10828,VIOC,1,1
Crew_10466,RRES,5,2
Crew_10108,RRES,3,0
Crew_10250,VIOC,2,0
Crew_10034,RRES,1,1
Crew_10299,VIOC,3,2
Crew_10482,VIOC,4,2
Crew_10859,VIOC,4,3
Crew_10663,VIOC,1,0
Crew_10162,ENDP,2,1
Crew_10834,VIOC,2,1
Crew_10606,RRES,4,0
Crew_10050,VIOC,2,2
Crew_10664,VIOC,1,1
Crew_10043,RRES,3,1
Crew_10210,RRES,3,3
Crew_10543,RRES,3,1
Crew_10550,VIOC,1,1
Crew_10424,VIOC,1,1
Crew_10839,VIOC,2,1
Crew_10632,VIOC,2,1
Crew_10683,RRES,1,0
Crew_10148,RTWL,4,1
Crew_10647,RRES,1,0
Crew_10370,TATC,3,0
Crew_10350,VIOC,0,0
Crew_10055,RRES,2,1
Crew_10794,RTWL,3,0
Crew_10215,VIOC,1,1
Crew_10616,TATC,1,0
Crew_10829,VIOC,1,1
Crew_10835,VIOC,1,1
Crew_10830,VIOC,1,0
Crew_10787,VIOC,2,1
Crew_10779,VIOC,1,1
Crew_10527,VIOC,3,0
Crew_10892,VIOC,1,0
Crew_10811,ENDP,2,1
Crew_10028,VIOC,1,1
Crew_10258,VIOC,0,0
Crew_10701,VIOC,0,0
Crew_10677,VIOC,1,0
Crew_10861,VIOC,0,0
Crew_10643,VIOC,1,1
Crew_10271,VIOC,5,0
