Crew ID,Base,Count of Non-Base Layover,Count of Invalid Layover
Crew_10841,RRES,1,0
Crew_10173,RRES,2,1
Crew_10333,VIOC,4,1
Crew_10033,RRES,1,1
Crew_10249,RRES,3,1
Crew_10602,RRES,3,2
Crew_10824,RRES,3,1
Crew_10497,RRES,3,0
Crew_10517,RRES,2,1
Crew_10447,RRES,3,0
Crew_10110,RRES,2,1
Crew_10075,RRES,3,0
Crew_10857,RRES,1,1
Crew_10167,RRES,2,2
Crew_10020,RRES,1,0
Crew_10010,RRES,0,0
Crew_10500,VIOC,1,0
Crew_10116,VIOC,0,0
Crew_10718,VIOC,1,0
Crew_10480,VIOC,2,0
Crew_10451,VIOC,0,0
Crew_10649,RTHW,0,0
Crew_10472,VIOC,2,0
Crew_10123,RRES,1,1
Crew_10109,RRES,2,0
Crew_10152,RRES,2,2
Crew_10292,VIOC,2,1
Crew_10744,VIOC,1,0
Crew_10759,VIOC,3,0
Crew_10770,VIOC,0,0
Crew_10708,VIOC,2,1
Crew_10842,RRES,3,0
Crew_10519,VIOC,2,1
Crew_10849,VIOC,2,0
Crew_10393,VIOC,0,0
Crew_10018,VIOC,1,1
Crew_10211,VIOC,3,0
Crew_10674,RRES,1,1
Crew_10080,RTHW,1,0
Crew_10179,RTHW,3,1
Crew_10498,RTHW,2,0
Crew_10867,RTHW,0,0
Crew_10362,RTHW,0,0
Crew_10736,RTHW,4,2
Crew_10398,RTHW,1,1
Crew_10037,VWSF,3,3
Crew_10125,RTHW,1,0
Crew_10272,RTHW,1,1
Crew_10789,RTHW,2,2
Crew_10652,RTHW,1,1
Crew_10604,RTHW,3,2
Crew_10684,RTHW,1,0
Crew_10117,TATC,2,2
Crew_10639,RRES,2,2
Crew_10218,VIOC,1,1
Crew_10413,ENDP,5,1
Crew_10750,VIOC,1,1
Crew_10541,RTHW,3,3
Crew_10855,RTHW,1,0
Crew_10192,RTHW,3,2
Crew_10150,RTHW,1,1
Crew_10252,ENDP,3,0
Crew_10325,RTHW,0,0
Crew_10872,ENDP,1,1
Crew_10793,VIOC,2,0
Crew_10127,ENDP,1,0
Crew_10327,ENDP,0,0
Crew_10017,VIOC,2,0
Crew_10403,ENDP,0,0
Crew_10567,RTHW,0,0
Crew_10645,RRES,2,1
Crew_10263,VIOC,3,3
Crew_10706,VIOC,2,1
Crew_10401,VIOC,3,2
Crew_10524,VIOC,1,1
Crew_10314,VIOC,0,0
Crew_10131,VIOC,0,0
Crew_10651,VIOC,2,0
Crew_10503,VIOC,0,0
Crew_10699,VIOC,0,0
Crew_10827,VIOC,0,0
Crew_10365,VIOC,0,0
Crew_10769,VIOC,2,0
Crew_10526,VIOC,0,0
Crew_10317,VIOC,4,1
Crew_10443,RTHW,1,0
Crew_10618,VIOC,1,1
Crew_10227,RTHW,1,1
Crew_10195,RRES,3,1
Crew_10584,RTHW,3,1
Crew_10176,RRES,3,1
Crew_10388,VIOC,0,0
Crew_10163,TATC,1,1
Crew_10386,RTHW,0,0
Crew_10887,RTHW,0,0
Crew_10741,RTHW,1,0
Crew_10637,ENDP,1,0
Crew_10124,RTHW,1,0
Crew_10031,VIOC,0,0
Crew_10045,RTHW,1,0
Crew_10836,TPWY,2,0
Crew_10626,VIOC,0,0
Crew_10757,RTHW,1,1
Crew_10845,VIOC,0,0
Crew_10743,VIOC,0,0
Crew_10638,RTHW,0,0
Crew_10071,RRES,1,1
Crew_10059,RRES,2,2
Crew_10682,VIOC,0,0
Crew_10338,VIOC,0,0
Crew_10416,RRES,1,1
Crew_10724,TATC,1,0
Crew_10509,RRES,1,1
Crew_10782,VIOC,0,0
Crew_10772,VIOC,0,0
Crew_10531,VIOC,0,0
Crew_10681,VIOC,0,0
Crew_10305,VIOC,2,2
Crew_10646,VIOC,1,0
Crew_10220,VIOC,2,2
Crew_10580,VIOC,0,0
Crew_10205,VIOC,2,0
Crew_10731,VIOC,0,0
Crew_10184,VIOC,1,0
Crew_10504,VWSF,1,1
Crew_10191,VIOC,1,1
Crew_10197,RRES,1,1
Crew_10181,RTHW,1,0
Crew_10532,VIOC,0,0
Crew_10868,ENDP,2,0
Crew_10177,VIOC,3,2
Crew_10053,RTHW,1,0
Crew_10773,VIOC,1,0
Crew_10454,RTHW,0,0
Crew_10186,VIOC,1,1
Crew_10873,RTHW,1,0
Crew_10228,VIOC,1,1
Crew_10306,VIOC,3,2
Crew_10860,VIOC,1,1
Crew_10469,VIOC,1,0
Crew_10553,VIOC,0,0
Crew_10852,RTHW,0,0
Crew_10791,RRES,1,0
Crew_10520,RTHW,0,0
Crew_10079,RTHW,0,0
Crew_10435,ENDP,3,2
Crew_10356,VIOC,2,2
Crew_10676,VIOC,1,1
Crew_10542,RTWL,1,0
Crew_10171,VIOC,1,1
Crew_10851,VIOC,1,1
Crew_10866,VIOC,1,1
Crew_10061,RTHW,0,0
Crew_10642,RTHW,0,0
Crew_10345,VIOC,1,0
Crew_10491,RTHW,0,0
Crew_10614,RRES,3,0
Crew_10477,RTHW,0,0
Crew_10103,RRES,1,1
Crew_10627,RRES,0,0
Crew_10740,VIOC,1,1
Crew_10599,TPWY,1,0
Crew_10082,RRES,1,1
Crew_10196,VWSF,2,0
Crew_10073,VIOC,1,0
Crew_10492,RRES,1,1
Crew_10414,VIOC,2,2
Crew_10095,VIOC,1,0
Crew_10685,RRES,1,0
Crew_10660,RRES,1,1
Crew_10729,RRES,1,1
Crew_10788,RRES,1,0
Crew_10390,RRES,1,1
Crew_10300,VIOC,1,1
Crew_10661,VIOC,1,1
Crew_10056,VIOC,1,1
Crew_10304,VIOC,2,2
Crew_10293,VIOC,1,0
Crew_10310,RRES,1,0
Crew_10449,VIOC,0,0
Crew_10007,RRES,1,0
Crew_10143,VIOC,0,0
Crew_10672,VIOC,2,1
Crew_10805,VIOC,0,0
Crew_10576,RRES,1,0
Crew_10545,VIOC,0,0
Crew_10070,RTHW,0,0
Crew_10030,VIOC,1,1
Crew_10544,VIOC,1,0
Crew_10508,VIOC,1,1
Crew_10115,RTHW,0,0
Crew_10734,ENDP,2,0
Crew_10411,ENDP,0,0
Crew_10748,TPWY,2,0
Crew_10400,VIOC,1,1
Crew_10423,VIOC,1,1
Crew_10806,VIOC,1,0
Crew_10807,VIOC,3,1
Crew_10142,RRES,0,0
Crew_10096,RRES,1,0
Crew_10496,VIOC,1,1
Crew_10241,RRES,0,0
Crew_10578,RRES,2,0
Crew_10025,VIOC,1,0
Crew_10207,VIOC,2,0
Crew_10521,VIOC,2,2
Crew_10404,VIOC,1,1
Crew_10266,VIOC,0,0
Crew_10003,RRES,0,0
Crew_10795,VIOC,1,0
Crew_10475,RRES,1,0
Crew_10397,RRES,0,0
Crew_10650,RRES,0,0
Crew_10391,VIOC,1,1
Crew_10389,RRES,0,0
Crew_10583,RRES,2,1
Crew_10367,RRES,0,0
Crew_10831,RRES,1,1
Crew_10702,RTHW,2,0
Crew_10128,VIOC,1,0
Crew_10703,RTHW,2,1
Crew_10754,RTHW,1,1
Crew_10023,RTHW,1,0
Crew_10742,RTHW,1,1
Crew_10598,VIOC,1,1
Crew_10560,VIOC,1,0
Crew_10819,VIOC,1,0
Crew_10156,ENDP,0,0
Crew_10209,RRES,1,0
Crew_10101,VIOC,0,0
Crew_10440,VIOC,0,0
Crew_10640,VIOC,0,0
Crew_10107,VIOC,0,0
Crew_10471,VIOC,0,0
Crew_10437,VIOC,0,0
Crew_10848,VIOC,0,0
Crew_10106,RRES,2,1
Crew_10501,VIOC,0,0
Crew_10335,VIOC,0,0
Crew_10114,VIOC,0,0
Crew_10775,VIOC,0,0
Crew_10190,TATC,1,1
Crew_10715,VIOC,2,2
Crew_10537,VIOC,0,0
Crew_10780,VIOC,0,0
Crew_10297,VIOC,2,2
Crew_10659,RTHW,0,0
Crew_10825,VIOC,1,1
Crew_10448,RTHW,5,0
Crew_10078,VIOC,1,1
Crew_10810,VIOC,0,0
Crew_10233,VIOC,0,0
Crew_10850,VIOC,0,0
Crew_10796,VIOC,0,0
Crew_10853,RRES,2,1
Crew_10818,VIOC,0,0
Crew_10455,RRES,2,2
Crew_10846,RRES,3,3
Crew_10828,VIOC,0,0
Crew_10466,RRES,1,1
Crew_10108,RRES,2,1
Crew_10250,VIOC,0,0
Crew_10034,RRES,1,1
Crew_10299,VIOC,0,0
Crew_10482,VIOC,0,0
Crew_10859,VIOC,4,2
Crew_10663,VIOC,0,0
Crew_10162,ENDP,2,0
Crew_10834,VIOC,0,0
Crew_10606,RRES,1,1
Crew_10050,VIOC,0,0
Crew_10664,VIOC,0,0
Crew_10043,RRES,0,0
Crew_10210,RRES,3,1
Crew_10543,RRES,1,0
Crew_10550,VIOC,0,0
Crew_10424,VIOC,0,0
Crew_10839,VIOC,3,0
Crew_10632,VIOC,0,0
Crew_10683,RRES,2,0
Crew_10148,RTWL,1,0
Crew_10647,RRES,3,0
Crew_10370,TATC,0,0
Crew_10350,VIOC,3,0
Crew_10055,RRES,1,0
Crew_10794,RTWL,1,0
Crew_10215,VIOC,0,0
Crew_10616,TATC,0,0
Crew_10829,VIOC,0,0
Crew_10835,VIOC,0,0
Crew_10830,VIOC,1,0
Crew_10787,VIOC,1,0
Crew_10779,VIOC,2,1
Crew_10527,VIOC,2,0
Crew_10892,VIOC,0,0
Crew_10811,ENDP,2,1
Crew_10028,VIOC,0,0
Crew_10258,VIOC,0,0
Crew_10701,VIOC,0,0
Crew_10677,VIOC,0,0
Crew_10861,VIOC,2,1
Crew_10643,VIOC,0,0
Crew_10271,VIOC,2,0
