id,depaAirport,arriAirport,td,ta
ddh_10125,LMGE,JDTH,2025/02/04 01:30:00,2025/02/04 11:45:00
ddh_10126,LMGE,ACCS,2025/02/04 01:35:00,2025/02/04 13:45:00
ddh_10127,LMGE,JHFU,2025/02/04 01:40:00,2025/02/04 12:25:00
ddh_10128,LMGE,FDVK,2025/02/04 01:45:00,2025/02/04 12:45:00
ddh_10129,CCWQ,LMGE,2025/02/04 02:30:00,2025/02/04 09:05:00
ddh_10130,QRYN,LMGE,2025/02/04 02:55:00,2025/02/04 11:05:00
ddh_10131,DRHC,LMGE,2025/02/04 03:10:00,2025/02/04 12:00:00
ddh_10132,XGOB,MHNT,2025/02/04 05:00:00,2025/02/04 09:30:00
ddh_10133,SNFR,LMGE,2025/02/04 05:15:00,2025/02/04 08:10:00
ddh_10134,LMGE,QRYN,2025/02/04 05:50:00,2025/02/04 14:25:00
ddh_10135,XGOB,WZBQ,2025/02/04 06:30:00,2025/02/04 09:10:00
ddh_10136,XGOB,WZBQ,2025/02/04 07:30:00,2025/02/04 10:15:00
ddh_10137,XGOB,JFWS,2025/02/04 07:30:00,2025/02/04 10:05:00
ddh_10138,MBMY,UQLN,2025/02/04 07:40:00,2025/02/04 10:35:00
ddh_10139,LMGE,FRMU,2025/02/04 08:00:00,2025/02/04 10:25:00
ddh_10140,XGOB,MBMY,2025/02/04 08:05:00,2025/02/04 10:30:00
ddh_10141,MBMY,LMGE,2025/02/04 08:20:00,2025/02/04 11:00:00
ddh_10142,LMGE,IDKG,2025/02/04 08:35:00,2025/02/04 12:20:00
ddh_10143,LMGE,RENC,2025/02/04 09:35:00,2025/02/04 14:10:00
ddh_10144,WZBQ,XGOB,2025/02/04 10:25:00,2025/02/04 13:45:00
ddh_10145,JFWS,XGOB,2025/02/04 11:15:00,2025/02/04 13:10:00
ddh_10146,MHNT,WMJO,2025/02/04 11:30:00,2025/02/04 18:40:00
ddh_10147,LMGE,WZBQ,2025/02/04 11:30:00,2025/02/04 14:10:00
ddh_10148,MBMY,XGOB,2025/02/04 11:40:00,2025/02/04 14:30:00
ddh_10149,WZBQ,XGOB,2025/02/04 11:40:00,2025/02/04 14:40:00
ddh_10150,FRMU,LMGE,2025/02/04 11:55:00,2025/02/04 14:15:00
ddh_10151,UQLN,CXOJ,2025/02/04 12:00:00,2025/02/04 16:00:00
ddh_10152,LMGE,FRMU,2025/02/04 13:00:00,2025/02/04 15:25:00
ddh_10153,IDKG,LMGE,2025/02/04 13:30:00,2025/02/04 17:50:00
ddh_10154,XGOB,JFWS,2025/02/04 14:30:00,2025/02/04 17:15:00
ddh_10155,LMGE,FWCS,2025/02/04 14:40:00,2025/02/04 18:40:00
ddh_10156,XGOB,MBMY,2025/02/04 15:05:00,2025/02/04 17:25:00
ddh_10157,WZBQ,LMGE,2025/02/04 15:30:00,2025/02/04 18:20:00
ddh_10158,RENC,LMGE,2025/02/04 15:40:00,2025/02/04 21:45:00
ddh_10159,LMGE,CCWQ,2025/02/04 16:05:00,2025/02/05 00:30:00
ddh_10160,XGOB,FRMU,2025/02/04 16:10:00,2025/02/04 18:35:00
ddh_10161,QRYN,EUKE,2025/02/04 16:25:00,2025/02/04 19:50:00
ddh_10162,LMGE,DRHC,2025/02/04 16:30:00,2025/02/05 01:20:00
ddh_10163,LMGE,QRYN,2025/02/04 16:30:00,2025/02/05 01:00:00
ddh_10164,LMGE,WZBQ,2025/02/04 16:30:00,2025/02/04 19:00:00
ddh_10165,TFKN,LMGE,2025/02/04 16:40:00,2025/02/05 05:55:00
ddh_10166,FRMU,LMGE,2025/02/04 16:40:00,2025/02/04 18:55:00
ddh_10167,XGOB,OEQY,2025/02/04 17:05:00,2025/02/04 19:25:00
ddh_10168,CXOJ,UQLN,2025/02/04 17:50:00,2025/02/04 21:35:00
ddh_10169,JHFU,LMGE,2025/02/04 17:50:00,2025/02/05 05:00:00
ddh_10170,ACCS,LMGE,2025/02/04 18:20:00,2025/02/05 05:10:00
ddh_10171,JFWS,XGOB,2025/02/04 18:20:00,2025/02/04 20:15:00
ddh_10172,MBMY,XGOB,2025/02/04 18:40:00,2025/02/04 21:25:00
ddh_10173,FRMU,XGOB,2025/02/04 19:50:00,2025/02/04 22:25:00
ddh_10174,FWCS,LMGE,2025/02/04 19:55:00,2025/02/04 23:30:00
ddh_10175,FDVK,LMGE,2025/02/04 20:00:00,2025/02/05 05:20:00
ddh_10176,WZBQ,LMGE,2025/02/04 20:15:00,2025/02/04 23:00:00
ddh_10177,LMGE,MBMY,2025/02/04 20:15:00,2025/02/04 22:35:00
ddh_10178,OEQY,XGOB,2025/02/04 20:45:00,2025/02/04 23:20:00
ddh_10179,WMJO,LMGE,2025/02/04 21:10:00,2025/02/05 06:55:00
ddh_10180,EUKE,LMGE,2025/02/04 22:20:00,2025/02/05 07:55:00
ddh_10181,LMGE,XNEP,2025/02/04 22:30:00,2025/02/05 11:30:00
ddh_10182,UQLN,MBMY,2025/02/04 22:50:00,2025/02/05 01:30:00
ddh_10183,LMGE,XGOB,2025/02/05 00:05:00,2025/02/05 00:45:00
ddh_10184,LMGE,GXSZ,2025/02/05 01:30:00,2025/02/05 11:50:00
ddh_10185,LMGE,JDTH,2025/02/05 01:30:00,2025/02/05 11:45:00
ddh_10186,LMGE,JHFU,2025/02/05 01:40:00,2025/02/05 12:25:00
ddh_10187,LMGE,FDVK,2025/02/05 01:45:00,2025/02/05 12:45:00
ddh_10188,CCWQ,LMGE,2025/02/05 02:30:00,2025/02/05 09:00:00
ddh_10189,QRYN,LMGE,2025/02/05 02:55:00,2025/02/05 11:05:00
ddh_10190,DRHC,LMGE,2025/02/05 03:10:00,2025/02/05 11:50:00
ddh_10191,XGOB,MHNT,2025/02/05 05:00:00,2025/02/05 09:30:00
ddh_10192,LMGE,XCIL,2025/02/05 10:50:00,2025/02/05 15:50:00
ddh_10193,XGOB,WZBQ,2025/02/05 06:30:00,2025/02/05 09:10:00
ddh_10194,XGOB,WZBQ,2025/02/05 07:30:00,2025/02/05 10:15:00
ddh_10195,XGOB,JFWS,2025/02/05 07:30:00,2025/02/05 10:05:00
ddh_10196,LMGE,FRMU,2025/02/05 08:00:00,2025/02/05 10:25:00
ddh_10197,XGOB,MBMY,2025/02/05 08:05:00,2025/02/05 11:00:00
ddh_10198,MBMY,HEYQ,2025/02/05 08:05:00,2025/02/05 10:40:00
ddh_10199,MBMY,UQLN,2025/02/05 08:20:00,2025/02/05 10:45:00
ddh_10200,LMGE,IDKG,2025/02/05 08:35:00,2025/02/05 12:20:00
ddh_10201,LMGE,RENC,2025/02/05 09:35:00,2025/02/05 14:10:00
ddh_10202,WZBQ,XGOB,2025/02/05 10:25:00,2025/02/05 13:45:00
ddh_10203,JFWS,XGOB,2025/02/05 11:15:00,2025/02/05 13:10:00
ddh_10204,MHNT,WMJO,2025/02/05 11:30:00,2025/02/05 18:40:00
ddh_10205,LMGE,WZBQ,2025/02/05 11:30:00,2025/02/05 14:10:00
ddh_10206,WZBQ,XGOB,2025/02/05 11:40:00,2025/02/05 14:40:00
ddh_10207,HEYQ,MBMY,2025/02/05 11:50:00,2025/02/05 14:45:00
ddh_10208,FRMU,LMGE,2025/02/05 11:55:00,2025/02/05 14:15:00
ddh_10209,UQLN,CXOJ,2025/02/05 12:00:00,2025/02/05 16:00:00
ddh_10210,MBMY,XGOB,2025/02/05 12:10:00,2025/02/05 14:45:00
ddh_10211,XNEP,SNFR,2025/02/05 13:30:00,2025/02/06 04:15:00
ddh_10212,IDKG,LMGE,2025/02/05 13:30:00,2025/02/05 17:50:00
ddh_10213,XGOB,JFWS,2025/02/05 14:30:00,2025/02/05 17:15:00
ddh_10214,LMGE,VTIR,2025/02/05 14:35:00,2025/02/05 18:20:00
ddh_10215,XGOB,MBMY,2025/02/05 15:05:00,2025/02/05 17:30:00
ddh_10216,WZBQ,LMGE,2025/02/05 15:30:00,2025/02/05 18:35:00
ddh_10217,RENC,LMGE,2025/02/05 15:40:00,2025/02/05 21:45:00
ddh_10218,LMGE,CCWQ,2025/02/05 16:05:00,2025/02/06 00:30:00
ddh_10219,XGOB,FRMU,2025/02/05 16:15:00,2025/02/05 18:35:00
ddh_10220,LMGE,DRHC,2025/02/05 16:30:00,2025/02/06 01:20:00
ddh_10221,LMGE,QRYN,2025/02/05 16:30:00,2025/02/06 01:00:00
ddh_10222,LMGE,WZBQ,2025/02/05 16:30:00,2025/02/05 19:00:00
ddh_10223,MBMY,WZBQ,2025/02/05 16:40:00,2025/02/05 20:40:00
ddh_10224,XGOB,OEQY,2025/02/05 17:05:00,2025/02/05 19:25:00
ddh_10225,XCIL,LMGE,2025/02/05 17:50:00,2025/02/05 21:50:00
ddh_10226,CXOJ,UQLN,2025/02/05 17:50:00,2025/02/05 21:55:00
ddh_10227,JHFU,LMGE,2025/02/05 17:50:00,2025/02/06 05:00:00
ddh_10228,JFWS,XGOB,2025/02/05 18:20:00,2025/02/05 20:15:00
ddh_10229,JDTH,LMGE,2025/02/05 18:30:00,2025/02/06 05:10:00
ddh_10230,MBMY,XGOB,2025/02/05 18:40:00,2025/02/05 21:25:00
ddh_10231,VTIR,LMGE,2025/02/05 19:20:00,2025/02/06 00:05:00
ddh_10232,FRMU,XGOB,2025/02/05 19:50:00,2025/02/05 22:25:00
ddh_10233,FDVK,LMGE,2025/02/05 20:00:00,2025/02/06 05:20:00
ddh_10234,WZBQ,LMGE,2025/02/05 20:15:00,2025/02/05 23:00:00
ddh_10235,GXSZ,LMGE,2025/02/05 20:30:00,2025/02/06 05:15:00
ddh_10236,OEQY,XGOB,2025/02/05 20:45:00,2025/02/05 23:20:00
ddh_10237,WMJO,XGOB,2025/02/05 21:10:00,2025/02/06 06:40:00
ddh_10238,WZBQ,MBMY,2025/02/05 21:55:00,2025/02/06 01:55:00
ddh_10239,UQLN,MBMY,2025/02/05 23:10:00,2025/02/06 01:30:00
ddh_10240,LMGE,QRYN,2025/02/06 00:05:00,2025/02/06 08:25:00
ddh_10241,LMGE,VSBC,2025/02/06 00:05:00,2025/02/06 02:05:00
ddh_10242,LMGE,XGOB,2025/02/06 00:05:00,2025/02/06 00:45:00
ddh_10243,LMGE,ACCS,2025/02/06 01:35:00,2025/02/06 13:45:00
ddh_10244,LMGE,JHFU,2025/02/06 01:40:00,2025/02/06 12:25:00
ddh_10245,LMGE,FDVK,2025/02/06 01:45:00,2025/02/06 12:45:00
ddh_10246,CCWQ,LMGE,2025/02/06 02:30:00,2025/02/06 09:05:00
ddh_10247,QRYN,LMGE,2025/02/06 02:55:00,2025/02/06 11:05:00
ddh_10248,DRHC,LMGE,2025/02/06 03:10:00,2025/02/06 11:50:00
ddh_10249,XGOB,MHNT,2025/02/06 05:00:00,2025/02/06 09:30:00
ddh_10250,SNFR,LMGE,2025/02/06 05:15:00,2025/02/06 08:10:00
ddh_10251,XGOB,WZBQ,2025/02/06 06:30:00,2025/02/06 09:10:00
ddh_10252,XGOB,JFWS,2025/02/06 07:30:00,2025/02/06 10:05:00
ddh_10253,XGOB,WZBQ,2025/02/06 07:30:00,2025/02/06 10:15:00
ddh_10254,MBMY,UQLN,2025/02/06 07:40:00,2025/02/06 10:35:00
ddh_10255,LMGE,FRMU,2025/02/06 08:00:00,2025/02/06 10:25:00
ddh_10256,XGOB,MBMY,2025/02/06 08:05:00,2025/02/06 10:30:00
ddh_10257,MBMY,LMGE,2025/02/06 08:20:00,2025/02/06 10:55:00
ddh_10258,LMGE,IDKG,2025/02/06 08:35:00,2025/02/06 12:20:00
ddh_10259,QRYN,EUKE,2025/02/06 10:25:00,2025/02/06 14:10:00
ddh_10260,WZBQ,XGOB,2025/02/06 10:25:00,2025/02/06 13:45:00
ddh_10261,JFWS,XGOB,2025/02/06 11:15:00,2025/02/06 13:10:00
ddh_10262,LMGE,PKEY,2025/02/06 11:20:00,2025/02/06 13:20:00
ddh_10263,MHNT,WMJO,2025/02/06 11:30:00,2025/02/06 18:40:00
ddh_10264,LMGE,WZBQ,2025/02/06 11:30:00,2025/02/06 14:10:00
ddh_10265,MBMY,XGOB,2025/02/06 11:40:00,2025/02/06 14:30:00
ddh_10266,WZBQ,XGOB,2025/02/06 11:40:00,2025/02/06 14:40:00
ddh_10267,FRMU,LMGE,2025/02/06 11:55:00,2025/02/06 14:15:00
ddh_10268,UQLN,CXOJ,2025/02/06 12:00:00,2025/02/06 16:00:00
ddh_10269,LMGE,FRMU,2025/02/06 13:00:00,2025/02/06 15:25:00
ddh_10270,IDKG,LMGE,2025/02/06 13:30:00,2025/02/06 17:50:00
ddh_10271,XGOB,JFWS,2025/02/06 14:30:00,2025/02/06 17:15:00
ddh_10272,LMGE,VTIR,2025/02/06 14:35:00,2025/02/06 18:20:00
ddh_10273,LMGE,FWCS,2025/02/06 14:40:00,2025/02/06 18:40:00
ddh_10274,XGOB,MBMY,2025/02/06 15:05:00,2025/02/06 17:30:00
ddh_10275,PKEY,CCWQ,2025/02/06 15:20:00,2025/02/07 00:30:00
ddh_10276,WZBQ,LMGE,2025/02/06 15:30:00,2025/02/06 18:35:00
ddh_10277,XGOB,FRMU,2025/02/06 16:10:00,2025/02/06 18:35:00
ddh_10278,LMGE,XLXE,2025/02/06 16:10:00,2025/02/06 18:25:00
ddh_10279,EUKE,LMGE,2025/02/06 16:30:00,2025/02/07 02:30:00
ddh_10280,LMGE,QRYN,2025/02/06 16:30:00,2025/02/07 01:00:00
ddh_10281,LMGE,WZBQ,2025/02/06 16:30:00,2025/02/06 19:00:00
ddh_10282,LMGE,MVFV,2025/02/06 16:35:00,2025/02/06 19:50:00
ddh_10283,FRMU,LMGE,2025/02/06 16:40:00,2025/02/06 18:55:00
ddh_10284,XGOB,OEQY,2025/02/06 16:45:00,2025/02/06 19:05:00
ddh_10285,CXOJ,UQLN,2025/02/06 17:50:00,2025/02/06 21:35:00
ddh_10286,JHFU,LMGE,2025/02/06 17:50:00,2025/02/07 05:00:00
ddh_10287,JFWS,XGOB,2025/02/06 18:20:00,2025/02/06 20:15:00
ddh_10288,ACCS,LMGE,2025/02/06 18:20:00,2025/02/07 05:10:00
ddh_10289,JDTH,LMGE,2025/02/06 18:30:00,2025/02/07 05:10:00
ddh_10290,MBMY,XGOB,2025/02/06 18:40:00,2025/02/06 21:25:00
ddh_10291,VTIR,LMGE,2025/02/06 19:20:00,2025/02/06 23:55:00
ddh_10292,XLXE,LMGE,2025/02/06 19:40:00,2025/02/06 22:35:00
ddh_10293,FRMU,XGOB,2025/02/06 19:50:00,2025/02/06 22:25:00
ddh_10294,FWCS,LMGE,2025/02/06 19:55:00,2025/02/06 23:30:00
ddh_10295,FDVK,LMGE,2025/02/06 20:00:00,2025/02/07 05:20:00
ddh_10296,LMGE,MBMY,2025/02/06 20:15:00,2025/02/06 22:35:00
ddh_10297,WZBQ,LMGE,2025/02/06 20:15:00,2025/02/06 23:00:00
ddh_10298,OEQY,XGOB,2025/02/06 20:25:00,2025/02/06 23:20:00
ddh_10299,MVFV,LMGE,2025/02/06 20:50:00,2025/02/07 01:15:00
ddh_10300,WMJO,LMGE,2025/02/06 21:10:00,2025/02/07 06:55:00
ddh_10301,UQLN,MBMY,2025/02/06 22:50:00,2025/02/07 01:30:00
ddh_10302,LMGE,GXSZ,2025/02/07 01:30:00,2025/02/07 11:50:00
ddh_10303,LMGE,JDTH,2025/02/07 01:30:00,2025/02/07 11:45:00
ddh_10304,LMGE,JHFU,2025/02/07 01:40:00,2025/02/07 12:25:00
ddh_10305,LMGE,FDVK,2025/02/07 01:45:00,2025/02/07 12:45:00
ddh_10306,CCWQ,PKEY,2025/02/07 02:30:00,2025/02/07 10:30:00
ddh_10307,QRYN,LMGE,2025/02/07 02:55:00,2025/02/07 11:05:00
ddh_10308,LMGE,HBNQ,2025/02/07 12:00:00,2025/02/07 14:30:00
ddh_10309,XGOB,MHNT,2025/02/07 05:55:00,2025/02/07 10:25:00
ddh_10310,XGOB,WZBQ,2025/02/07 06:30:00,2025/02/07 09:10:00
ddh_10311,XGOB,WZBQ,2025/02/07 07:30:00,2025/02/07 10:15:00
ddh_10312,XGOB,JFWS,2025/02/07 07:30:00,2025/02/07 10:05:00
ddh_10313,LMGE,FRMU,2025/02/07 08:00:00,2025/02/07 10:25:00
ddh_10314,LMGE,JFWS,2025/02/07 08:00:00,2025/02/07 10:45:00
ddh_10315,MBMY,HEYQ,2025/02/07 08:05:00,2025/02/07 10:40:00
ddh_10316,MBMY,UQLN,2025/02/07 08:20:00,2025/02/07 10:45:00
ddh_10317,LMGE,XLXE,2025/02/07 10:15:00,2025/02/07 12:35:00
ddh_10318,WZBQ,XGOB,2025/02/07 10:25:00,2025/02/07 13:45:00
ddh_10319,JFWS,XGOB,2025/02/07 11:15:00,2025/02/07 13:10:00
ddh_10320,WZBQ,XGOB,2025/02/07 11:40:00,2025/02/07 14:40:00
ddh_10321,HEYQ,MBMY,2025/02/07 11:50:00,2025/02/07 14:45:00
ddh_10322,JFWS,LMGE,2025/02/07 11:50:00,2025/02/07 14:05:00
